PLAYER,SALARY ($),SEASON
Andre Iguodala,18834396,2011-2012
Carlos Boozer,18790204,2011-2012
Tyson Chandler,18244365,2011-2012
Nenê,18094270,2011-2012
Manu Ginobili,18067878,2011-2012
Marc Gasol,17985975,2011-2012
Emeka Okafor,17456534,2011-2012
Tony Parker,17398337,2011-2012
Josh Smith,17259150,2011-2012
LaMarcus Aldridge,17220178,2011-2012
Luol Deng,17154760,2011-2012
Danny Granger,16724540,2011-2012
Al Horford,16702403,2011-2012
Joakim Noah,16702403,2011-2012
Andrew Bogut,16702403,2011-2012
Steve Nash,16269619,2011-2012
David Lee,16159575,2011-2012
Ben Gordon,16145657,2011-2012
Kevin Martin,16034084,2011-2012
Marcus Camby,15626838,2011-2012
Jason Terry,15530451,2011-2012
Hidayet Turkoglu,15332597,2011-2012
Monta Ellis,15310536,2011-2012
Mehmet Okur,15157431,2011-2012
Corey Maggette,14283435,2011-2012
Jason Kidd,14087085,2011-2012
DeAndre Jordan,14029189,2011-2012
Rajon Rondo,13981937,2011-2012
Ray Allen,13918669,2011-2012
David West,13918669,2011-2012
Jose Calderon,13613839,2011-2012
Gerald Wallace,13222736,2011-2012
Devin Harris,12970808,2011-2012
Richard Jefferson,12919309,2011-2012
Stephen Jackson,12883816,2011-2012
Andrea Bargnani,12874769,2011-2012
Boris Diaw,12526802,2011-2012
Andris Biedrins,12526802,2011-2012
Lamar Odom,12387616,2011-2012
Luis Scola,11958633,2011-2012
Rodney Stuckey,11830869,2011-2012
Maurice Williams,11830869,2011-2012
Carl Landry,11830869,2011-2012
John Salmons,11830869,2011-2012
Paul Millsap,11278903,2011-2012
Kirk Hinrich,11274122,2011-2012
Shawn Marion,11166181,2011-2012
Kris Humphries,11134935,2011-2012
Caron Butler,11134935,2011-2012
Andre Miller,10867318,2011-2012
Jameer Nelson,10856562,2011-2012
Anderson Varejao,10717375,2011-2012
Brendan Haywood,10612289,2011-2012
Leandro Barbosa,10578189,2011-2012
James Posey,10572064,2011-2012
Arron Afflalo,10525994,2011-2012
Raymond Felton,10522514,2011-2012
Charlie Villanueva,10494677,2011-2012
Marvin Williams,10439002,2011-2012
Thaddeus Young,10408744,2011-2012
Tyrus Thomas,10168653,2011-2012
Kendrick Perkins,9915139,2011-2012
Travis Outlaw,9743067,2011-2012
Samuel Dalembert,9743068,2011-2012
Marcus Thornton,9743068,2011-2012
Derrick Rose,9734311,2011-2012
DeSagana Diop,9639235,2011-2012
Beno Udrih,9639235,2011-2012
Metta World Peace,9451667,2011-2012
Trevor Ariza,9451667,2011-2012
Marcin Gortat,9451667,2011-2012
Kwame Brown,9395102,2011-2012
JJ Redick,9395102,2011-2012
Andres Nocioni,9255915,2011-2012
Mike Conley,9202427,2011-2012
Mickael Pietrus,9079379,2011-2012
Grant Hill,9047135,2011-2012
Andray Blatche,8966522,2011-2012
Glen Davis,8768762,2011-2012
Tayshaun Prince,8757814,2011-2012
Michael Beasley,8716354,2011-2012
Jermaine O'Neal,8666042,2011-2012
Al Harrington,8666042,2011-2012
Drew Gooden,8666042,2011-2012
Wesley Matthews,8539326,2011-2012
Josh Childress,8351201,2011-2012
Francisco Garcia,8072828,2011-2012
Kyle Lowry,8003235,2011-2012
Blake Griffin,7976901,2011-2012
Luke Walton,7905804,2011-2012
OJ Mayo,7839881,2011-2012
Channing Frye,7794455,2011-2012
John Wall,7697135,2011-2012
Amir Johnson,7655268,2011-2012
Nate Robinson,7632033,2011-2012
Mike Miller,7516081,2011-2012
Jason Richardson,7509122,2011-2012
Martell Webster,7315652,2011-2012
Chuck Hayes,7307301,2011-2012
Louis Williams,7204303,2011-2012
Kyrie Irving,7160153,2011-2012
Hasheem Thabeet,7137104,2011-2012
Russell Westbrook,7074047,2011-2012
Kyle Korver,6959334,2011-2012
Jason Maxiell,6959334,2011-2012
Luc Mbah a Moute,6959334,2011-2012
Jarrett Jack,6959334,2011-2012
Jamal Crawford,6959334,2011-2012
Evan Turner,6886735,2011-2012
Darko Milicic,6648252,2011-2012
Brad Miller,6614151,2011-2012
Zaza Pachulia,6611368,2011-2012
Ronnie Brewer,6555693,2011-2012
Kevin Love,6416090,2011-2012
Linas Kleiza,6409547,2011-2012
James Harden,6409213,2011-2012
Derrick Williams,6406374,2011-2012
Nikola Pekovic,6268412,2011-2012
Jonas Jerebko,6263401,2011-2012
Derrick Favors,6184566,2011-2012
Daniel Gibson,6129551,2011-2012
Ronny Turiaf,6068540,2011-2012
Jose Juan Barea,5985028,2011-2012
Ramon Sessions,5926532,2011-2012
Brandon Bass,5915434,2011-2012
Randy Foye,5915434,2011-2012
Jared Dudley,5915434,2011-2012
Chris Andersen,5893164,2011-2012
Danilo Gallinari,5832175,2011-2012
Tyreke Evans,5778530,2011-2012
Enes Kanter,5752975,2011-2012
Charlie Bell,5706543,2011-2012
Spencer Hawes,5638486,2011-2012
Wesley Johnson,5575930,2011-2012
Jordan Farmar,5567467,2011-2012
Anthony Morrow,5567467,2011-2012
Ryan Gomes,5567467,2011-2012
Steve Blake,5567467,2011-2012
Mario Chalmers,5567467,2011-2012
Hakim Warrick,5567467,2011-2012
Matt Carroll,5428281,2011-2012
Eric Gordon,5332498,2011-2012
Dorell Wright,5321107,2011-2012
Udonis Haslem,5261257,2011-2012
Mike Dunleavy,5219501,2011-2012
Nazr Mohammed,5219501,2011-2012
Tristan Thompson,5186931,2011-2012
CJ Miles,5149907,2011-2012
Nick Young,5144141,2011-2012
Luke Ridnour,5122070,2011-2012
Tiago Splitter,5110935,2011-2012
DeMarcus Cousins,5049303,2011-2012
Joel Anthony,5010721,2011-2012
Shaun Livingston,4871534,2011-2012
Carlos Delfino,4871534,2011-2012
Chris Duhon,4871534,2011-2012
Shannon Brown,4871534,2011-2012
Ricky Rubio,4843864,2011-2012
Jonny Flynn,4752836,2011-2012
CJ Watson,4732347,2011-2012
Derek Fisher,4732347,2011-2012
Marco Belinelli,4701175,2011-2012
Timofey Mozgov,4654258,2011-2012
Daequan Cook,4651004,2011-2012
Matt Bonner,4614039,2011-2012
Thabo Sefolosha,4593161,2011-2012
Ekpe Udoh,4586146,2011-2012
Nick Collison,4555576,2011-2012
Johan Petro,4523567,2011-2012
Will Bynum,4523567,2011-2012
Raja Bell,4509649,2011-2012
DJ Augustin,4504735,2011-2012
Tony Allen,4384381,2011-2012
Stephen Curry,4338616,2011-2012
Brook Lopez,4282751,2011-2012
Jan Vesely,4266127,2011-2012
Corey Brewer,4257721,2011-2012
Jerryd Bayless,4234449,2011-2012
Greg Monroe,4186624,2011-2012
Jason Thompson,4177388,2011-2012
Chris Wilcox,4175600,2011-2012
Shawne Williams,4175600,2011-2012
Jeff Foster,4175600,2011-2012
Josh McRoberts,4175600,2011-2012
Shane Battier,4175600,2011-2012
Brandon Rush,4115274,2011-2012
Anthony Randolph,4052046,2011-2012
Robin Lopez,3984361,2011-2012
Jordan Hill,3974838,2011-2012
Bismack Biyombo,3894499,2011-2012
Al-Farouq Aminu,3835372,2011-2012
Eduardo Najera,3827634,2011-2012
Marreese Speights,3787624,2011-2012
Dahntay Jones,3758040,2011-2012
Antonio McDyess,3674528,2011-2012
DeMar DeRozan,3653650,2011-2012
Roy Hibbert,3602972,2011-2012
Brandon Knight,3567800,2011-2012
Ersan Ilyasova,3536734,2011-2012
Gordon Hayward,3525543,2011-2012
DeShawn Stevenson,3479667,2011-2012
Reggie Williams,3479667,2011-2012
Kenyon Martin,3479667,2011-2012
Jason Smith,3479667,2011-2012
Aaron Gray,3479667,2011-2012
Brandon Jennings,3470926,2011-2012
Ryan Hollins,3456469,2011-2012
JaVale McGee,3427333,2011-2012
Quentin Richardson,3405341,2011-2012
Paul George,3349166,2011-2012
Louis Amundson,3344656,2011-2012
JR Smith,3315918,2011-2012
Terrence Williams,3297388,2011-2012
Kemba Walker,3279684,2011-2012
JJ Hickson,3277202,2011-2012
Cole Aldrich,3181807,2011-2012
Gerald Henderson,3132535,2011-2012
Anthony Parker,3131700,2011-2012
Keyon Dooling,3126689,2011-2012
Ben Wallace,3126689,2011-2012
Ryan Anderson,3124186,2011-2012
Jimmer Fredette,3115499,2011-2012
Courtney Lee,3097033,2011-2012
Kosta Koufos,3067385,2011-2012
Rudy Fernandez,3034886,2011-2012
Xavier Henry,3022634,2011-2012
Nicolas Batum,2999981,2011-2012
Josh Howard,2992514,2011-2012
Tyler Hansbrough,2975867,2011-2012
Klay Thompson,2959832,2011-2012
Goran Dragic,2934055,2011-2012
George Hill,2903935,2011-2012
Ed Davis,2871477,2011-2012
Anthony Tolliver,2853327,2011-2012
Darrell Arthur,2821480,2011-2012
Alec Burks,2811849,2011-2012
Donte Greene,2805859,2011-2012
DJ White,2785358,2011-2012
Dante Cunningham,2783733,2011-2012
Earl Watson,2783733,2011-2012
Patrick Patterson,2728003,2011-2012
Austin Daye,2685746,2011-2012
Markieff Morris,2671215,2011-2012
Matt Barnes,2653176,2011-2012
Larry Sanders,2591544,2011-2012
Omer Asik,2585392,2011-2012
James Johnson,2551459,2011-2012
Marcus Morris,2537763,2011-2012
Luke Babbitt,2461934,2011-2012
Jrue Holiday,2423852,2011-2012
Kawhi Leonard,2410657,2011-2012
Kevin Seraphin,2338837,2011-2012
Renaldo Balkman,2331377,2011-2012
Ty Lawson,2302760,2011-2012
Nikola Vucevic,2290177,2011-2012
Eric Bledsoe,2221920,2011-2012
Jeff Teague,2199038,2011-2012
Gustavo Ayon,2181751,2011-2012
Iman Shumpert,2175655,2011-2012
Avery Bradley,2121873,2011-2012
Eric Maynor,2111016,2011-2012
Jeff Ayres,2087800,2011-2012
James Jones,2087800,2011-2012
Sebastian Telfair,2087800,2011-2012
Greg Oden,2087800,2011-2012
Gary Forbes,2087800,2011-2012
Chris Singleton,2066922,2011-2012
James Anderson,2037025,2011-2012
Darren Collison,2026502,2011-2012
Tobias Harris,1973890,2011-2012
Craig Brackins,1955517,2011-2012
Jerry Stackhouse,1882056,2011-2012
Jason Collins,1882056,2011-2012
Tracy McGrady,1882056,2011-2012
Vladimir Radmanovic,1882056,2011-2012
Brian Scalabrine,1882056,2011-2012
Brian Cardinal,1882056,2011-2012
Troy Murphy,1882056,2011-2012
Juwan Howard,1882056,2011-2012
Eddie House,1882056,2011-2012
Mike Bibby,1882056,2011-2012
Tony Battie,1882056,2011-2012
Kurt Thomas,1882056,2011-2012
Jamaal Magloire,1882056,2011-2012
Anthony Carter,1882056,2011-2012
Elliot Williams,1877350,2011-2012
Omri Casspi,1867829,2011-2012
Michael Redd,1821266,2011-2012
Nolan Smith,1819058,2011-2012
Hamed Haddadi,1809427,2011-2012
Trevor Booker,1802356,2011-2012
BJ Mullens,1793003,2011-2012
Serge Ibaka,1793003,2011-2012
Kenneth Faried,1746403,2011-2012
Damion James,1730202,2011-2012
Rodrigue Beaubois,1721349,2011-2012
Reggie Evans,1710959,2011-2012
Eddy Curry,1710959,2011-2012
Jared Jeffries,1710959,2011-2012
Rasual Butler,1710959,2011-2012
Jamaal Tinsley,1710959,2011-2012
Jannero Pargo,1702484,2011-2012
Willie Green,1702484,2011-2012
Marquis Daniels,1702484,2011-2012
Aleksandar Pavlovic,1702484,2011-2012
Brian Cook,1702484,2011-2012
Jason Kapono,1702484,2011-2012
Maurice Evans,1702484,2011-2012
Royal Ivey,1670240,2011-2012
Taj Gibson,1664227,2011-2012
Dominique Jones,1660887,2011-2012
Earl Clark,1614565,2011-2012
Reggie Jackson,1609443,2011-2012
Wayne Ellington,1606270,2011-2012
Quincy Pondexter,1605936,2011-2012
Delonte West,1595548,2011-2012
Damien Wilkins,1595548,2011-2012
TJ Ford,1595548,2011-2012
Roger Mason,1595548,2011-2012
Toney Douglas,1594578,2011-2012
Joel Przybilla,1593725,2011-2012
Jordan Crawford,1559503,2011-2012
Greivis Vasquez,1549983,2011-2012
MarShon Brooks,1545139,2011-2012
Daniel Orton,1538792,2011-2012
Christian Eyenga,1527601,2011-2012
Lazar Hayward,1527601,2011-2012
Jordan Hamilton,1493871,2011-2012
Ronnie Price,1488614,2011-2012
JaJuan Johnson,1450770,2011-2012
Norris Cole,1441918,2011-2012
Cory Joseph,1431396,2011-2012
Jimmy Butler,1421040,2011-2012
Jeremy Pargo,1391866,2011-2012
Jon Brockman,1391866,2011-2012
Shelden Williams,1381678,2011-2012
Steve Novak,1381678,2011-2012
Von Wafer,1381678,2011-2012
Craig Smith,1381678,2011-2012
DeJuan Blair,1372380,2011-2012
Sam Young,1319211,2011-2012
John Lucas,1274744,2011-2012
Ian Mahinmi,1274744,2011-2012
Brandan Wright,1274744,2011-2012
Dominic McGuire,1274744,2011-2012
Sean Williams,1231969,2011-2012
Henry Walker,1231969,2011-2012
Sundiata Gaines,1189195,2011-2012
Derrick Brown,1189195,2011-2012
Alonzo Gee,1189195,2011-2012
Chase Budinger,1189195,2011-2012
AJ Price,1189195,2011-2012
Jodie Meeks,1189195,2011-2012
Danny Green,1189195,2011-2012
Erick Dampier,1183813,2011-2012
Chandler Parsons,1183086,2011-2012
Keith Bogans,1180673,2011-2012
DeMarre Carroll,1160417,2011-2012
Solomon Alabi,1155249,2011-2012
Yi Jianlian,1151348,2011-2012
Lance Stephenson,1127412,2011-2012
Andy Rautins,1098004,2011-2012
Tyler Honeycutt,1078696,2011-2012
Greg Stiemsma,1060874,2011-2012
Semih Erden,1060874,2011-2012
Samardo Samuels,1060874,2011-2012
Luke Harangody,1060874,2011-2012
Devin Ebanks,1060874,2011-2012
Dexter Pittman,1060874,2011-2012
Landry Fields,1060874,2011-2012
Jeremy Lin,1060874,2011-2012
Chris Johnson,1060874,2011-2012
Armon Johnson,1060874,2011-2012
Hassan Whiteside,1060874,2011-2012
Gary Neal,1060874,2011-2012
Jeremy Evans,1060874,2011-2012
Jeremy Tyler,904713,2011-2012
Ishmael Smith,889756,2011-2012
Bobby Simmons,827932,2011-2012
Josh Selby,765526,2011-2012
Gerald Green,719593,2011-2012
Malcolm Lee,695933,2011-2012
Ryan Reid,661136,2011-2012
Ivan Johnson,659193,2011-2012
E'Twaun Moore,659193,2011-2012
Jordan Williams,659193,2011-2012
Cory Higgins,659193,2011-2012
Julyan Stone,659193,2011-2012
Vernon Macklin,659193,2011-2012
Charles Jenkins,659193,2011-2012
Chris Wright,659193,2011-2012
Travis Leslie,659193,2011-2012
Trey Thompkins,659193,2011-2012
Darius Morris,659193,2011-2012
Andrew Goudelock,659193,2011-2012
Terrel Harris,659193,2011-2012
Jon Leuer,659193,2011-2012
Josh Harrellson,659193,2011-2012
Jerome Jordan,659193,2011-2012
Justin Harper,659193,2011-2012
DeAndre Liggins,659193,2011-2012
Lavoy Allen,659193,2011-2012
Isaiah Thomas,659193,2011-2012
Shelvin Mack,659193,2011-2012
Solomon Jones,612912,2011-2012
Larry Hughes,576849,2011-2012
Walker Russell,520960,2011-2012
Lance Thomas,457150,2011-2012
Josh Davis,437103,2011-2012
Francisco Elson,425621,2011-2012
DaJuan Summers,421926,2011-2012
Greg Smith,419972,2011-2012
Mike James,386334,2011-2012
Jeff Adrien,376398,2011-2012
Derrick Caracter,376398,2011-2012
Hamady N'Diaye,376398,2011-2012
Mickell Gladness,345549,2011-2012
Darington Hobson,342237,2011-2012
Jeff Foote,313644,2011-2012
Donald Sloan,276464,2011-2012
Earl Barron,258313,2011-2012
Mychel Thompson,233882,2011-2012
Carldell Johnson,233882,2011-2012
Manny Harris,171118,2011-2012
Malcolm Thomas,143507,2011-2012
Dennis Horner,127553,2011-2012
Larry Owens,119772,2011-2012
Brian Skinner,91092,2011-2012
Ike Diogu,89118,2011-2012
Andre Emmett,85506,2011-2012
Ben Uzoh,85506,2011-2012
Garret Siler,71120,2011-2012
Courtney Fortson,58470,2011-2012
Kobe Bryant,38127661,2012-2013
Brandon Roy,29380306,2012-2013
Dirk Nowitzki,28623645,2012-2013
Gilbert Arenas,28487824,2012-2013
Amare Stoudemire,27311611,2012-2013
Joe Johnson,27043059,2012-2013
Carmelo Anthony,26628712,2012-2013
Dwight Howard,26370229,2012-2013
Pau Gasol,26012624,2012-2013
Elton Brand,24863076,2012-2013
Chris Paul,24341596,2012-2013
Kevin Durant,24025859,2012-2013
LeBron James,24020604,2012-2013
Chris Bosh,24020604,2012-2013
Deron Williams,23517869,2012-2013
Dwyane Wade,23307311,2012-2013
Paul Pierce,22987417,2012-2013
Zach Randolph,22589910,2012-2013
Andrew Bynum,22552948,2012-2013
Rudy Gay,22535875,2012-2013
Derrick Rose,22456424,2012-2013
Rashard Lewis,20607722,2012-2013
Carlos Boozer,20536282,2012-2013
Al Jefferson,20536282,2012-2013
Baron Davis,20330919,2012-2013
Andre Iguodala,20150542,2012-2013
Manu Ginobili,19314362,2012-2013
Marc Gasol,19018458,2012-2013
Roy Hibbert,18713687,2012-2013
Kevin Love,18713687,2012-2013
Eric Gordon,18713687,2012-2013
Russell Westbrook,18713687,2012-2013
Brook Lopez,18712660,2012-2013
Tyson Chandler,18625296,2012-2013
Emeka Okafor,18541867,2012-2013
Luol Deng,18245391,2012-2013
Josh Smith,18071928,2012-2013
Andrew Bogut,18003474,2012-2013
Danny Granger,17878347,2012-2013
LaMarcus Aldridge,17798111,2012-2013
Nenê,17798111,2012-2013
Kevin Martin,17715521,2012-2013
David Lee,17447625,2012-2013
Tony Parker,17113568,2012-2013
Kevin Garnett,17069117,2012-2013
Ben Gordon,16976660,2012-2013
Al Horford,16429025,2012-2013
Kris Humphries,16429025,2012-2013
Nicolas Batum,16360571,2012-2013
Hidayet Turkoglu,16176908,2012-2013
Joakim Noah,15128394,2012-2013
Jose Calderon,15123727,2012-2013
Rajon Rondo,15059940,2012-2013
Monta Ellis,15059940,2012-2013
Corey Maggette,14956078,2012-2013
DeAndre Jordan,14420545,2012-2013
Richard Hamilton,14375397,2012-2013
Richard Jefferson,13915384,2012-2013
Stephen Jackson,13773000,2012-2013
JaVale McGee,13690854,2012-2013
David West,13690854,2012-2013
Andrea Bargnani,13690854,2012-2013
Andrei Kirilenko,13388764,2012-2013
Gerald Wallace,13256081,2012-2013
Tim Duncan,13196004,2012-2013
Danilo Gallinari,12922797,2012-2013
Andris Biedrins,12321769,2012-2013
Steve Nash,12184860,2012-2013
Ryan Anderson,11911043,2012-2013
Shawn Marion,11837611,2012-2013
Jameer Nelson,11774135,2012-2013
Devin Harris,11637226,2012-2013
Rodney Stuckey,11637226,2012-2013
Maurice Williams,11637226,2012-2013
Anderson Varejao,11500318,2012-2013
Brendan Haywood,11430493,2012-2013
Marvin Williams,11346295,2012-2013
Lamar Odom,11226501,2012-2013
Jeff Green,11089592,2012-2013
John Salmons,11062210,2012-2013
Charlie Villanueva,11034829,2012-2013
Thaddeus Young,11006256,2012-2013
Tyrus Thomas,10952683,2012-2013
Chris Kaman,10952683,2012-2013
George Hill,10952683,2012-2013
Caron Butler,10952683,2012-2013
Andray Blatche,10915568,2012-2013
Ersan Ilyasova,10815775,2012-2013
Beno Udrih,10692557,2012-2013
Kendrick Perkins,10679593,2012-2013
Marcus Thornton,10449544,2012-2013
Arron Afflalo,10353709,2012-2013
Goran Dragic,10268141,2012-2013
DeSagana Diop,10093172,2012-2013
Metta World Peace,9938136,2012-2013
Marcin Gortat,9938136,2012-2013
Trevor Ariza,9938136,2012-2013
Blake Griffin,9894231,2012-2013
Paul Millsap,9857415,2012-2013
Mike Conley,9830033,2012-2013
Travis Outlaw,9583597,2012-2013
Josh Childress,9433075,2012-2013
Tayshaun Prince,9260555,2012-2013
Samuel Dalembert,9172872,2012-2013
Al Harrington,9155622,2012-2013
Drew Gooden,9145491,2012-2013
Wesley Matthews,8906339,2012-2013
Brandon Bass,8899055,2012-2013
Spencer Hawes,8899055,2012-2013
Darko Milicic,8840533,2012-2013
Glen Davis,8762147,2012-2013
Francisco Garcia,8351421,2012-2013
Luke Walton,8339596,2012-2013
JJ Redick,8214512,2012-2013
Nick Young,8214512,2012-2013
Channing Frye,8214512,2012-2013
Amir Johnson,8214512,2012-2013
Wilson Chandler,8119245,2012-2013
John Wall,8099345,2012-2013
James Harden,7968647,2012-2013
Mike Miller,7940695,2012-2013
Jason Richardson,7940182,2012-2013
Aaron Brooks,7872240,2012-2013
Michael Beasley,7872241,2012-2013
Kyle Lowry,7872241,2012-2013
Jarrett Jack,7639497,2012-2013
Kyrie Irving,7571152,2012-2013
Chuck Hayes,7511145,2012-2013
Evan Turner,7246679,2012-2013
Tyreke Evans,7190196,2012-2013
Jason Thompson,7187698,2012-2013
Zaza Pachulia,7185987,2012-2013
Chris Andersen,7154774,2012-2013
Anthony Davis,7042959,2012-2013
Louis Williams,6845427,2012-2013
Kyle Korver,6845427,2012-2013
Jason Terry,6845427,2012-2013
Courtney Lee,6845427,2012-2013
Ramon Sessions,6845427,2012-2013
Andre Miller,6845427,2012-2013
Jason Maxiell,6845427,2012-2013
Omer Asik,6845427,2012-2013
Jeremy Lin,6845427,2012-2013
Jamal Crawford,6845427,2012-2013
Landry Fields,6845427,2012-2013
Derrick Williams,6774015,2012-2013
Robin Lopez,6707550,2012-2013
Luc Mbah a Moute,6563658,2012-2013
Daniel Gibson,6561112,2012-2013
Derrick Favors,6507701,2012-2013
Nikola Pekovic,6352556,2012-2013
Michael Kidd-Gilchrist,6301517,2012-2013
Linas Kleiza,6297793,2012-2013
Marcus Camby,6284565,2012-2013
Jonas Jerebko,6160884,2012-2013
Luis Scola,6160884,2012-2013
Boris Diaw,6160884,2012-2013
Jose Juan Barea,6151301,2012-2013
Enes Kanter,6083339,2012-2013
Wesley Johnson,5867298,2012-2013
Jared Dudley,5818613,2012-2013
Marreese Speights,5750159,2012-2013
Bradley Beal,5658813,2012-2013
Dorell Wright,5621465,2012-2013
Udonis Haslem,5558487,2012-2013
Steve Novak,5550347,2012-2013
OJ Mayo,5503723,2012-2013
Tristan Thompson,5484665,2012-2013
Anthony Morrow,5476341,2012-2013
Carl Landry,5476341,2012-2013
Brandon Rush,5476341,2012-2013
Ian Mahinmi,5476341,2012-2013
Ryan Gomes,5476341,2012-2013
Steve Blake,5476341,2012-2013
Mario Chalmers,5476341,2012-2013
Luke Ridnour,5476341,2012-2013
Raymond Felton,5476341,2012-2013
Hakim Warrick,5476341,2012-2013
JJ Hickson,5476341,2012-2013
Stephen Curry,5419856,2012-2013
Tiago Splitter,5399673,2012-2013
Kirk Hinrich,5395565,2012-2013
DeMarcus Cousins,5313146,2012-2013
Joel Anthony,5134070,2012-2013
Mike Dunleavy,5134070,2012-2013
Ricky Rubio,5121913,2012-2013
Dion Waiters,5102033,2012-2013
Chris Duhon,5038234,2012-2013
Matt Bonner,4969780,2012-2013
Daequan Cook,4932369,2012-2013
Thabo Sefolosha,4928707,2012-2013
Ekpe Udoh,4825862,2012-2013
Johan Petro,4791799,2012-2013
Alonzo Gee,4791799,2012-2013
Will Bynum,4791799,2012-2013
DJ Augustin,4791799,2012-2013
Gerald Green,4791799,2012-2013
Jordan Hill,4791799,2012-2013
Matt Carroll,4791799,2012-2013
Shannon Brown,4791799,2012-2013
Danny Green,4791799,2012-2013
Raja Bell,4764417,2012-2013
Thomas Robinson,4620170,2012-2013
Jonas Valanciunas,4620170,2012-2013
DeMar DeRozan,4578564,2012-2013
Tony Allen,4517982,2012-2013
Jan Vesely,4511081,2012-2013
Corey Brewer,4439944,2012-2013
Greg Monroe,4405278,2012-2013
Brandon Jennings,4352997,2012-2013
Shawne Williams,4323571,2012-2013
Josh McRoberts,4292083,2012-2013
Shane Battier,4292083,2012-2013
Vince Carter,4271546,2012-2013
Gerald Henderson,4245980,2012-2013
Jerryd Bayless,4244165,2012-2013
Mirza Teletovic,4230474,2012-2013
Ray Allen,4230474,2012-2013
Jason Kidd,4230474,2012-2013
Damian Lillard,4196301,2012-2013
Tyler Hansbrough,4182910,2012-2013
